epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,527.722,1.80507,1.69314,1.15181,0.41735,0.14866,0.09284,0.03675,1.96307,1.8468,1.27602,0.00331183,0.00331183,0.0701935
2,1057.57,1.83732,1.44794,1.18151,0.43866,0.14394,0.10462,0.04607,1.92728,2.04737,1.27864,0.00651359,0.00651359,0.040062
3,1586.68,1.79329,1.37861,1.15557,0.34315,0.16313,0.12141,0.05782,1.89436,1.78541,1.23588,0.00958335,0.00958335,0.0097984
4,2112.87,1.74398,1.31089,1.13449,0.51976,0.19145,0.15965,0.07539,1.81763,1.48546,1.17707,0.009406,0.009406,0.009406
5,2638.02,1.69488,1.24871,1.12053,0.52942,0.21237,0.18322,0.08821,1.71259,1.29078,1.1403,0.009208,0.009208,0.009208
6,3162.98,1.65445,1.19902,1.10391,0.545,0.24608,0.21946,0.11031,1.60062,1.16845,1.09777,0.00901,0.00901,0.00901
7,3687.78,1.62548,1.18307,1.09365,0.47802,0.23558,0.22569,0.11217,1.59862,1.15972,1.09932,0.008812,0.008812,0.008812
8,4214.09,1.62096,1.16088,1.08756,0.34084,0.27353,0.24301,0.11973,1.56773,1.10492,1.07577,0.008614,0.008614,0.008614
9,4739.62,1.59195,1.12704,1.07334,0.34221,0.25777,0.22131,0.11024,1.59977,1.16888,1.09226,0.008416,0.008416,0.008416
10,5262.66,1.57589,1.11627,1.06775,0.3546,0.30259,0.25486,0.12819,1.53471,1.08076,1.06022,0.008218,0.008218,0.008218
11,5785.51,1.56216,1.09186,1.05869,0.41439,0.28311,0.25241,0.12577,1.5479,1.09672,1.06527,0.00802,0.00802,0.00802
12,6311.3,1.54505,1.08179,1.05531,0.46975,0.29225,0.27556,0.14114,1.51532,1.03586,1.04647,0.007822,0.007822,0.007822
13,6843.57,1.52994,1.07365,1.04802,0.45896,0.2964,0.27186,0.13821,1.51785,1.04841,1.04619,0.007624,0.007624,0.007624
14,7381.69,1.52357,1.05341,1.04213,0.37459,0.30038,0.2597,0.1287,1.53039,1.07528,1.04948,0.007426,0.007426,0.007426
15,7914.35,1.52745,1.05499,1.04571,0.4899,0.32117,0.28234,0.14459,1.48551,1.0151,1.03454,0.007228,0.007228,0.007228
16,8444.92,1.50578,1.02219,1.03291,0.4285,0.29801,0.27948,0.14327,1.48473,1.00376,1.03465,0.00703,0.00703,0.00703
17,8976.5,1.50014,1.01811,1.02932,0.38386,0.29106,0.28197,0.14548,1.47552,1.00078,1.02955,0.006832,0.006832,0.006832
18,9508.96,1.48542,1.00937,1.02797,0.41466,0.32267,0.29105,0.14708,1.46161,0.99667,1.02223,0.006634,0.006634,0.006634
19,10040.3,1.46861,0.99471,1.01915,0.44413,0.3261,0.30702,0.1599,1.46343,0.99475,1.02924,0.006436,0.006436,0.006436
20,10571.5,1.48366,0.99717,1.02845,0.426,0.33353,0.30486,0.16108,1.4567,0.9698,1.02235,0.006238,0.006238,0.006238
21,11105.8,1.46816,0.97331,1.01625,0.48912,0.31074,0.30473,0.16323,1.45435,0.97781,1.01988,0.00604,0.00604,0.00604
22,11638.5,1.46598,0.97357,1.01409,0.40283,0.33319,0.30508,0.15708,1.47011,0.98132,1.0133,0.005842,0.005842,0.005842
23,12170.5,1.44784,0.95746,1.01155,0.46107,0.31895,0.32017,0.16624,1.4457,0.96539,1.0154,0.005644,0.005644,0.005644
24,12701.6,1.45144,0.95437,1.01039,0.46995,0.3252,0.31145,0.16286,1.43264,0.94092,1.00652,0.005446,0.005446,0.005446
25,13234.3,1.43822,0.94197,0.9996,0.491,0.31437,0.31954,0.16649,1.42907,0.94541,1.00566,0.005248,0.005248,0.005248
26,13768.1,1.43644,0.95064,1.00455,0.52695,0.32743,0.3352,0.17612,1.43042,0.93133,1.00807,0.00505,0.00505,0.00505
27,14299.2,1.4224,0.9256,1.00379,0.42001,0.34406,0.31139,0.16102,1.44006,0.95435,1.01395,0.004852,0.004852,0.004852
28,14831.6,1.42295,0.92837,1.00048,0.46767,0.33947,0.32733,0.17174,1.41603,0.91684,1.00706,0.004654,0.004654,0.004654
29,15363.8,1.42728,0.92953,1.00055,0.44368,0.35606,0.33191,0.17603,1.42398,0.93052,1.00706,0.004456,0.004456,0.004456
30,43951.5,1.41228,0.91062,0.99668,0.45395,0.34902,0.34048,0.17654,1.409,0.9217,0.9984,0.004258,0.004258,0.004258
31,61439.6,1.41167,0.91484,0.99394,0.45389,0.36032,0.33017,0.17174,1.41038,0.92204,1.00043,0.00406,0.00406,0.00406
